CT_titles,ECs,common
Open-label Dose Escalation Phase 1b Trial of a New Micellar Docetaxel Compound in Patients With Metastatic Castration-resistant Prostate Cancer (mCRPC),[exclusion] known history of human immunodeficiency virus (HIV) or active chronic Hepatitis C or Hepatitis B Virus infection or any uncontrolled active systemic infection requiring intravenous (iv) antimicrobial treatment,1
Clinical and Molecular Effects of Abrocitinib in Subjects With Atopic Dermatitis With an Unsatisfactory Response or Facial Erythema After Treatment With Dupilumab,[exclusion] subject is known to have immunodeficiency disorder or a first-degree relative with a hereditary immunodeficiency,1
Phase II Study of CCNU (Lomustine) in Patients With Advanced Non-Small Cell Lung Cancer and Aberrant Hypermethylation of the MGMT Gene,[inclusion] stage IV patients with brain metastases are eligible provided the brain metastases are clinically stable after treatment with surgery and/or radiation therapy,
"Prospective Study on the Incidence of Hepatitis B Virus Reactivation in Untreated Patients With Diffuse Large B-Cell Lymphoma/Chronic Lymphoid Leukemia HBsAg-positive Treated With Rituximab, Chemotherapy and Tenofovir Alafenamide","[exclusion] positive viral markers, such as IgM antibody to hepatitis A virus, hepatitis C virus, IgG antibody to hepatitis D virus, IgM antibody to hepatitis E virus, or antibody to HIV",
Single Arm and Multicenter Clinical Trial to Evaluating the Efficacy and Safety of the Chimeric Antigen Receptor T Cell Immunotherapy (CAR-T) for Relapsed or Refractory Neuroblastoma in Children,[inclusion] body weights greater than or equal to 10 kg,1
"Clinical Study to Generate Exploratory Training Data Characterising Clinical Events, Physiological & Metabolic Responses, & Innate & Adaptive Immune Responses Following 1st & 3rd of 3 IM Immunisations With ""Engerix B"" HepB Vaccine or Placebo in Healthy Adults With no Pre-existing Immunity to HepB","[exclusion] an average weekly alcohol intake that exceeds 14 or 21 units per week for females & males, respectively, or unwilling to stop alcohol consumption for each treatment period during the study",1
Pilot Study of the Effect of Duavee∝ on Benign Breast Tissue Proliferation in Peri or Post-menopausal Women at Moderate Risk for Development of Breast Cancer,[exclusion] prior ovarian or endometrial cancer,
A Phase グb/ケ Clinical Study on the Open-label and Multiple Centers of Camrelizumab for Injection in Combination With Famitinib Malate Capsule and Paclitaxel For Injection(Albumin Bound) in Advanced Solid Tumors of Patients,[inclusion] an Eastern Cooperative Oncology Group (ECOG) performance status (PS) score of 0 or 1,1
"Antibody-Drug Conjugate Combined With Hypofractionated Radiotherapy, PD-1/PD-L1 Inhibitor Sequential GM-CSF and IL-2 for the Treatment Advanced Refractory Solid Tumors With HER-2 Positive(PRaG3.0)",[exclusion] current pregnancy or lactation�,1
Intra-arterial Lutetium-177-dotatate for Treatment of Patients With Neuro-endocrine Tumor Liver Metastases,"[exclusion] patients suffering from psychic disorders that make a comprehensive judgement impossible, such as psychosis, hallucinations and/or depression. Patients who are declared incompetent",1
Cellular Adoptive Immunotherapy Using Autologous Tumor-Infiltrating Lymphocytes Following Lymphodepletion With Cyclophosphamide and Fludarabine for Patients With Metastatic Melanoma,"[exclusion] pre-existing known cardiovascular abnormalities as defined by any one of the following: Cardiac ischemia, or symptoms of coronary artery disease",
"A Double-blinded, Randomized, Placebo-controlled, Dose-Exploring Study of RX-10100 When Given for Eight Consecutive Weeks to Subjects With Major Depression Disorder (MDD)",[inclusion] have a score of 4 or more on the CGI-S,
"Phase 1, Open-Label Study to Evaluate Potential Pharmacokinetic Interaction of Orally Administered Primaquine and Chloroquine in Healthy Thai Adult Subjects","[exclusion] A positive pre-study hepatitis B surface antigen, positive hepatitis C antibody, or positive human immunodeficiency virus-1 (HIV-1) antibody result at screening",1
A Randomized Controlled Trial of Vitamin D Supplementation in Multiple Sclerosis,[inclusion] if the patient meets the McDonald RRMS criteria (rather than McDonald Clinically,
A Phase I-II Trial of DA-EPOCH-R Plus Ixazomib as Frontline Therapy for Patients With MYC-aberrant Lymphoid Malignancies: The DACIPHOR Regimen,"[exclusion] patients who are participating in other clinical trials, including those with other investigational agents not included in this trial, within 30 days of registration and throughout the duration of this trial are not eligible",1
Phase II Trial of O6-Benzylguanine (NSC 637037) and BCNU in Patients With Multiple Myeloma,[inclusion] at least 12 weeks,1
An Adaptive Treatment Strategy for Adolescent Depression,[exclusion] adolescent that have already received an adequate trial of IPT-A or fluoxetine,
"Polycystic Ovary Syndrome Treatment Using DLBS3233, Metformin, and Combination of Both, and Its Relation to Fertility",[inclusion] subject with body mass index (BMI) of 19-35 inclusive,1
"Prospective, Multicenter, Open-label Study Evaluating the Effects of First-line Oral Combination Therapy of Macitentan and Tadalafil in Patients With Newly Diagnosed Pulmonary Arterial Hypertension (OPTIMA).","[exclusion] treatment with strong inhibitors of CYP3A4 (e.g., ketoconazole, itraconazole, voriconazole, clarithromycin, telithromycin, nefazodone, ritonavir, boceprevir, telaprevir, saquinavir, lopinavir, fosamprenavir, darunavir, tipranavir, atazanavir, nelfinavir, amprenavir, indinavir) ∥ 28 days prior to Day 1",1
A Phase II Trial of Bortezomib (Velcade) Plus Prednisone for Initial Therapy of Chronic Graft Versus Host Disease,[exclusion] serious medical or psychiatric illness likely to interfere with participation in this clinical study,1
Randomized Clinical Trial Comparing Enteral Glutamine Supplementation to Standard of Care Enteral Feeding in Critical Illness,[inclusion] requirement for enteral nutrition,
A Multicenter Phase I Study Evaluating the Addition of Bortezomib to an Established Acute Graft Versus Host Disease (aGVHD) Prophylaxis Regimen in Pediatric Allogeneic Hematopoietic Stem Cell Transplant (Allo HSCT) Patients,[inclusion] subjects must have any malignant or non-malignant condition that requires treatment with alloHSCT,
"A Phase 2, Double-Blind, Randomized, Placebo-Controlled Dose-Ranging Study of the Efficacy, Safety and Tolerability of TAK-536 in Subjects With Mild to Moderate Uncomplicated Essential Hypertension",[exclusion] has a cardiovascular disease or symptoms,
"Open-label Randomized Multicenter Comparative Study on the Efficacy and Safety of Areplivir Film-coated Tablets (PROMOMED RUS LLC, Russia) in Patients Hospitalized With COVID-19",[exclusion] chronic heart failure FC III-IV according to New York Heart Association (NYHA) functional classification,
"An Open-Label, Phase 1 Study of MK-6482 as Monotherapy and in Combination With Lenvatinib (MK-7902) With or Without Pembrolizumab (MK-3475) in China Participants With Advanced Renal Cell Carcinoma","[exclusion] has other clinically significant disorders such as: A serious active non-healing wound/ulcer/bone fracture, requirement for hemodialysis or peritoneal dialysis or a history of allogenic tissue/solid organ transplantation",
"A Phase III Randomized, Double-Blind Study Comparing Human Corticotropin-Releasing Factor (hCRF) to Dexamethasone for Control of Symptoms Associated With Peritumoral Brain Edema in Patients With Primary Malignant Glioma","[exclusion] need for surgery, radiosurgery or radiation therapy or the introduction of new chemotherapeutic regime within 2 weeks of study treatment",
"Evaluation of the Utility of Intravitreal Methotrexate in Patients With Recalcitrant Diabetic Macular Edema in an Open Label, Nonrandomized, Uncontrolled, Interventional Pilot Trial","[exclusion] liver function that exceeds three times the upper limit of normal at baseline, or within 6 weeks of that appointment",1
"Open-Label Study of Divalproex Sodium Extended Release for the Treatment of Mania in Children Ages 6-12 With Bipolar I, Bipolar II, and Bipolar Spectrum Disorder",[inclusion] subjects and their legal representative must be considered reliable,1
The Effect of Micro Fragmented Adipose Tissue (MFAT) on Knee Osteoarthritis,[exclusion] currently undergoing immunomodulatory therapy,
A Phase I Trial of BAY 43-9006 for Patients With Recurrent or Progressive Malignant Glioma,[inclusion] patients must have a Karnofsky performance status >= 60% (i.e. the patient must be able to care for himself/herself with occasional help from others),1
"A Single Center, Single Arm, Open and Fixed Sequence Study to Investigate the Pharmacokinetic Effects of Rifampicin on Fluzoparib in Healthy Male Subjects",[exclusion] take any prescription or over-the-counter medication within 14 days before taking the investigational drug,
"A Phase II, Multi-center, Randomized, Placebo-controlled (Double-blind Design), Parallel-group ,Adaptive Design Study, to Evaluate the Efficacy and Safety of HEC585 Tablets in Patients With Progressive-fibrosing Interstitial Lung Diseases","[exclusion] use of any of the following medications for the treatment of Interstitial Lung Disease (ILD): Azathioprine (AZA), cyclosporine, MMF, tacrolimus, oral corticosteroids (OCS) >20mg/day and the combination of OCS+AZA+NAC within 4 weeks before randomization",
Panitumumab and Bevacizumab Maintenance After First-Line FOLFOX-Bevacizumab for Patients With Advanced Colorectal Cancer With Wild-Type Ras,[exclusion] history of cerebral aneurysms or cerebral arteriovenous malformations,
"A Phase 1a/1b Dose Escalation and Dose Expansion, First-in-human, Open-Labeled Study of ETH-155008 in Subjects With Relapsed or Refractory B-cell NHL, CLL/SLL and AML",[inclusion] platelets ｜75／109 /L,
A Phase I Study Of 17-Dimethylaminoethylamino-17-demethoxygeldanamycin (17DMAG) With Evaluation Of Hsp90 Client Proteins In Subjects With Solid Tumors And Lymphomas,[inclusion] concurrent bisphosphonates for any cancer allowed,
Randomized Pivotal Trial to Assess the Safety and Efficacy of Preoperative Focused Microwave Thermotherapy Plus Preoperative Chemotherapy Versus Preoperative Chemotherapy Alone for Cytoreduction of Large Breast Cancer in Female Patients With Intact Breast,"[exclusion] bleeding disorders. Laboratory evidence of coagulopathy (PT, INR > 1.5; PTT > 1.5) or those who are receiving anticoagulants",
"A Phase IV, Comparative, Randomized, Double Blind, Single-Dose, 2-way Crossover Study to Evaluate the Pharmacokinetics and Safety of Alpharma Branded Products Division (KADIAN)and Ligand Pharmaceuticals Inc. (Avinza) 30 mg Morphine Sulfate Sustained-Release Capsules in Healthy Adult Volunteers Under Fed Conditions","[exclusion] in addition, history or presence of: asthma or other chronic respiratory illness",
A 2-Part Open-Label Phase I Study of TAVO412 in Patients With Advanced or Metastatic Solid Tumors Who Progressed on Prior Approved Standard of Care Therapy,"[exclusion] active autoimmune disease that required systemic treatment in the past (i.e., with use of disease-modifying agents, corticosteroids, or immunosuppressive drugs)",1
Mechanistic Study Using Oral Insulin for Immune Efficacy in Secondary Prevention of Type 1 Diabetes,[inclusion] written informed consent signed by either parent(s) or legal guardian(s),1
Pilot Evaluation of Two Test Materials With a Positive Control When Used as a Patient Preoperative Skin Preparation,[inclusion] subjects must be able to read and understand English,1
Effect of Perioperative AntiHER-2 Therapy on Early Breast Cancer Study - Biological Phase (EPHOS-B),[inclusion] no inflammatory breast cancer,
"A Randomized, Controlled, Open-label, Parallel-group, Multi-center Study to Compare the Effect of Intrathecal Baclofen Therapy Versus Best Medical Treatment on Severe Spasticity in Post-stroke Patients After 6 Months Active Treatment",[exclusion] active systemic infection (NOTE: pressure sores are not a contraindication unless they are present near the implant sites),1
An Open Label Study to Evaluate the Clinical Response to Sequential Treatment With Daivobet and Daivonex in Patients With Mild to Moderate Psoriasis,"[exclusion] clinical presentation of erythrodermic pustular psoriasis, expressed in plates and localized lesions on face and/or scalp",
A Phase I Trial of Arsenic Trioxide in the Treatment of Infiltrating Gliomas of Childhood,[inclusion] no other malignancy within the past 5 years except curatively treated basal cell or squamous cell skin cancer or carcinoma in situ,
The Role of Intra-articular Injection of Autologous Platelet Rich Plasma Versus Corticosteriods in Treatment of Synovitis in Lumbar Facet Joint Disease,"[exclusion] ? Acute low back trauma, fractures, malignancies and inflammatory diseases",
"A Placebo-Controlled, Randomized, Double-Blind, Parallel-Group, Dose-Finding Trial to Evaluate the Efficacy and Safety of TBS-2 Intranasal Testosterone Gel in Women With Acquired Female Orgasmic Disorder",[exclusion] have a diagnosis of sleep apnea and be using a continuous positive airway pressure/automatic positive airway device,
Phase II Trial for Patients With Glioblastoma Multiforme (GBM) Treated With Gliadel Followed by Avastin Plus Irinotecan,"[inclusion] patients on corticosteroids must have been on a stable dose for 1 week prior to entry, if clinically possible, and the dose should not be escalated over entry dose level",
"The Effect of Paricalcitol on Creatinine Filtration, Secretion and Glomerular Filtration Rate",[inclusion] age > 18 years,1
A Phase 3 Randomized Study to Evaluate Survival of Patients Treated With Talaporfin Sodium (LS11) and Interstitial Light Emitting Diodes (LED) as Compared to the Standard of Care Therapies in the Treatment of Unresectable Hepatocellular Carcinoma (HCC),[inclusion] life expectancy of at least 16 weeks,1
A Prospective Randomized Controlled Study Evaluating the Safety and Efficacy of EVICEL∝ Used for Suture-Line Sealing in Dura-Mater Closure During Paediatric Neurosurgical Cranial Procedures,[exclusion] scheduled or foreseeable surgery within the follow-up period,
Compare the Clinical Efficacy of Prototype Toothpastes,[exclusion] participation in any other clinical study within 1 week prior to enrollment into this study,1
Intracoronary Stenting and Angiographic Results: ORSIRO Stents Versus Xience PRIME Stents Assessed by Optical Coherence Tomography,"[exclusion] malignancies or other comorbid conditions (for example severe liver, renal and pancreatic disease) with life expectancy less than 18 months or that may result in protocol non-compliance",1
Organ Function Preservation by the Combination Treatment of the optImuM Dose of calcineUrin Inhibitor and Mycophenolate Sodium in Kidney Recipients: OPTIMUM Study,"[exclusion] patients who were either pregnant, lactating, planning to become pregnant in the next 12 months",1
A Randomized Phase II Trial of Second Line Therapy in Advanced Biliary Tract Cancer: Capecitabine or Capecitabine Plus Mitomycin C,"[exclusion] history of interstitial lung disease (eg, pneumonia or pulmonary fibrosis) or evidence of interstitial lung disease on baseline chest CT scan",
"PrEP TMC278LA: Safety, Tolerability and Pharmacokinetics of TMC278LA in HIV Negative Volunteers","[inclusion] willing to undergo HIV testing, HIV discussion and receive HIV test results (according to the ""UK National Guidelines for HIV Testing 2008"", www.bhiva.org)",1
"The Safety, Tolerability and Pharmacokinetics of a Single Intravenous Infusion of 10, 40, and 80 ?g/kg XG-102 Administered to Healthy Male Volunteers in a Randomized, Double Blind, Placebo Controlled, Dose Escalating Phase I Study",[inclusion] body mass index between 18.5 and 30.0 kg/m2 and body weight in the 50 - 100 kg range,1
A Randomized Controlled Double-blind Cross-over Trial of Dalfampridine ER for Effect on Ambulatory Activity in People With Multiple Sclerosis,[inclusion] diagnosis of MS made at least 3 months prior to based McDonald or Proser criteria,
"A Phase I, Open-Label Study to Determine the Effect of Repeat Dosing of Trametinib on the Pharmacokinetics and Safety of a Combined Oral Contraceptive (Norethindrone Plus Ethinyl Estradiol) and to Characterize the Pharmacokinetics of Trametinib's Metabolite M5 in Female Subjects With Solid Tumors","[exclusion] is currently receiving a prohibited medication(s) or requires the use of any of the prohibited medication(s) during the study. NOTE: Use of anticoagulants such as warfarin is permitted; however, INR must be monitored in accordance with local institutional practice",1
"A Randomized, Double-blind, Placebo-controlled, Sequential Parallel Group, Single and Multiple Ascending Dose (SAD/MAD) Study in Healthy Subjects To Evaluate The Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Of TLL018 Following Oral Administration And With An Open Label Food Effect Panel","[inclusion] are between the ages of 18 and 55 years, inclusive",1
"A Prospective,Single-arm,Multicenter Study to Evaluate the Efficacy and Safety of Mircera in Peritoneal Patients Who Already Had Been Treated With ESA",[exclusion] overt gastrointestinal bleeding or any other bleeding episode necessitating transfusion wihin 2 months before screening during baseline pereiod,
"A Single-dose, Open-label, Randomized, Crossover Study to Assess the Impact of Food on the Pharmacokinetics of Darunavir, Cobicistat, Emtricitabine, and Tenofovir Alafenamide Administered as a Fixed-dose Combination Tablet, and the Relative Bioavailability","[exclusion] subject has known allergies, hypersensitivity, or intolerance to DRV, COBI (GS-9350), EVG (Panel 1 only), FTC, TAF or their excipients",1
"A Phase 2, Single-Arm, Open-Label Study to Evaluate the Safety and Tolerability of PBI-4050 and of Its Effects on the Inflammatory, Fibrosis, Diabetes and Obesity Biomarkers in Subjects With Alstr?m Syndrome",[exclusion] subject is currently using weight loss medications at screening. Subjects may be re-screened after stopping the weight loss medication for a period of at least 5 half-lives,
Postauthorization Safety Study of the Long-Term Safety and Efficacy of Repeat Administration of Darvadstrocel in Patients With Crohn's Disease and Complex Perianal Fistula,[inclusion] A female participant of childbearing potential who is sexually active with a nonsterilized male partner agrees to use a highly effective/effective method of contraception from signing of informed consent and until 1 year after repeat administration,1
Phase Ib Study of Metformin in Combination With Carboplatin/Paclitaxel Chemotherapy in Patients With Advanced Ovarian Cancer,[exclusion] serious active infection requiring i.v. antibiotics at enrolment,1
A Prospective Randomised Trial Comparing Temozolomide With PCV In The Treatment Of Recurrent WHO Astrocytic Tumours Grades III And IV,"[inclusion] histologically confirmed anaplastic astrocytoma, glioblastoma multiforme, or gliosarcoma",
"A Phase 2A Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging Study to Evaluate the Efficacy, Safety and Pharmacokinetics (PK) of ACER-801 for Treatment of Moderate to Severe Vasomotor Symptoms (VMS) Associated With Menopause","[inclusion] moderate: defined as sensation of heat with sweating, able to continue activity",
"A Randomised, Double-blind, Placebo-controlled, Four-way Crossover Study to Compare the Pharmacodynamics and Pharmacokinetics of GW685698X and GW642444M When Administered Separately and in Combination as a Single Dose From a Novel Dry Powder Device in Healthy Japanese Subjects",[exclusion] A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within 3 months of screening,1
A Preliminary Open-Label Trial of Losartan Potassium in Participants With Eosinophilic Esophagitis (EoE) With or Without a Connective Tissue Disorder,[inclusion] female participants must be either: Of non-childbearing potential (pre-menarchal or surgically sterile with documentation). OR,1
Prevention of PTSD With Early Hydrocortisone Treatment: Pilot,[exclusion] pregnant or breast-feeding,1
"Absolute Bioavailability, Pharmacokinetics, Excretion, and Metabolism of [14C]Acp-196 (Acalabrutinib) in Healthy Subjects",[inclusion] continuous non-smoker who has not used nicotine-containing products within 3 months before Check-in and during the entire study,1
Phase 1/2 Modular Dose Escalation With Cohort Expansion of CP-506 (HAP) in Patients With Solid Tumor Types With High Incidence of HRD/FAD in Monotherapy or With Carboplatin or Patients With Solid Tumour and OPD Receiving ICI,"[exclusion] known positive for HIV, Hepatitis B surface antigen positive or Hepatitis C positive with abnormal liver function tests",1
A Randomized Double-blind Trial Comparing the Effect on Pain of an Oral Sucrose Solution Versus Placebo in Children 1 to 3 Months Old Needing Bladder Catheterization,[exclusion] parental language barrier (French and/or English),1
"A Randomized, Double-blind (Sponsor Unblinded), Placebo Controlled, Repeat Dose Study Investigating Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GSK2330672 in Type 2 Diabetes Patients Taking Metformin","[exclusion] history of regular alcohol consumption within 6 months of the study defined as: An average weekly intake of >14 drinks for males or >7 drinks for females. One drink is equivalent to 12 g of alcohol: 12 ounces (360 mL) of beer, 5 ounces (150 mL) of wine or 1.5 ounces (45 mL) of 80 proof distilled spirits",1
"A Phase 2 Randomized, Double-Blind, Study to Evaluate the Safety, Efficacy, and Pharmacokinetics of Vepoloxamer Injection, 22.5% (Sodium-Free) in Ambulatory Subjects With Chronic Heart Failure",[exclusion] acutely decompensated heart failure within 1 month prior to the screening visit,
A Study to Compare the Relative Bioavailability of Ranbaxy and Pfizer Formulations of Sertraline 100 mg Tablets in Healthy Adult Volunteers Under Fasting Conditions.,"[exclusion] if female, pregnant, lactating or likely to become pregnant during the study",1
Single-arm Study to De-escalate Adjuvant Endocrine Therapy Duration in Women With HR+ HER2- Breast Cancer at Very Low Risk of Metastasis,[exclusion] women with high-risk breast cancer predisposing deleterious germline mutations,
"A Randomized, Double-blind, Adjuvant-controlled Phase 1a/b Study on Safety and Tolerability With Ascending Multiple Doses of IMX101 in H. Pylori-negative and H. Pylori-infected Healthy Volunteers","[exclusion] history, evidence or suspicion of tumour burden",1
"A Phase 3, Randomized, Double Blind, Double-Dummy, Multicenter, Parallel Group Comparison Study to on Efficacy and Safety of Oral Once-Daily Administration of TAK-438 20 mg Comparing With AG-1749 in Patients With Gastric Ulcer.","[exclusion] participants with a postoperative ulcer (e.g., Ulcer after EMR/ESD) on endoscopy at baseline (Visit 1)",
"A Single-center, Single-arm, Prospective Study to Investigate the Efficacy and Safety of Olaparib Combined With Abiraterone and Prednisone in mHSPC Patients With HRR Gene Mutation",[inclusion] subjects with known allergic to Olaparib or Abiraterone acetate or any of the excipients of the two products,1
"Does Hypoxia Predict Radiation/Surgical Tumor Response/A Correlative Trial of EF5, an Agent for the Detection of Tumor Hypoxia",[inclusion] weight no greater than 130 kg,1
A Phase 1b Study of the Safety and Pharmacology of Atezolizumab (Anti-PD-L1 Antibody) Administered With Erlotinib or Alectinib in Patients With Advanced Non-Small Cell Lung Cancer,"[exclusion] current or active tuberculosis, hepatitis B, or hepatitis C",1
Treatment of Liver Metastases With Electrochemotherapy (ECTJ) Phase II,[exclusion] significant reduction in respiratory function,
A Multicenter Screening Study With Flortaucipir F 18 in Patients With Early Symptomatic AD; #2,[exclusion] have an ECG corrected QT (QTcF) interval measurement >450 msec (men) or >470 msec (women) at screening (as determined at the investigational site),
A Phase II Study Of The Weekly Administration Of Docetaxel In Combination With The Epidermal Growth Factor Receptor Inhibitor OSI-774 In Recurrent And/Or Metastatic Breast Cancer,"[inclusion] wBC(White Blood Count) at least 3,000/mm^3",
Phase II Study of Shortened-duration Tacrolimus Following Nonmyeloablative Peripheral Blood Stem Cell Transplant With High-dose Posttransplantation Cyclophosphamide in Malignancies That Are Challenging to Engraft,[exclusion] active extramedullary leukemia or active central nervous system (CNS) malignant disease,
"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety, Tolerability, and Immunogenicity of the Concomitant Administration of Either 23-Valent Pneumococcal Polysaccharide Vaccine or 15-Valent Pneumococcal Conjugate Vaccine With a Booster Dose of SARS-CoV-2 mRNA Vaccine in Healthy Adults 50 Years of Age or Older.",[exclusion] received systemic corticosteroids exceeding physiologic replacement doses ∥14 days before receipt of study vaccine,
"Intra-arterial Neuroprotective Strategy for Ischemic STroke Patients With No Reperfusion Therapy (INSIST-NRT): One Single Center, Safety and Feasibility Study",[inclusion] age ｜18 years,1
A Single-Centre Pilot Trial Investigating the Efficacy and Safety of Enobosarm and Anastrozole in Pre-menopausal Women With High Mammographic Breast Density,[exclusion] unable to comply with study requirements,1
Modified Rapid Sequence Induction in Morbidly Obese Patients,[inclusion] BMI > 40,1
Study on the Gut Microbial Mechanism of Negative Symptoms of Schizophrenia,[exclusion] pregnant and lactating women,1
"A Phase 1/2a, Open-Label, Multicenter, Nonrandomized, Safety and Anti-tumor Activity Study of IMM-1-104, a Novel Oral Dual MEK1/2 Inhibitor in Participants With Previously Treated RAS-Mutated Advanced or Metastatic Solid Tumors","[exclusion] history or concurrent evidence of retinal vein occlusion (RVO) or current risk factors for RVO. History of serous retinopathy, retinal edema, or retinal pigment epithelial detachment (RPED)",
"A Phase 1, Open-label, Multicenter, Randomized, 2-Period, Crossover Study to Evaluate the Bioequivalence and Food Effect Bioavailability of CC-486 (Oral Azacitidine) Tablets in Adult Cancer Subjects",[exclusion] have been treated with an investigational agent within 4 weeks prior to the first day of IP administration,
A Randomised Phase III Trial With a PET Response Adapted Design Comparing ABVD +/- ISRT With A2VD +/- ISRT in Patients With Previously Untreated Stage IA/IIA Hodgkin Lymphoma,"[exclusion] known hypersensitivity to recombinant proteins, murine proteins, or to any excipient contained in the drug formulation of brentuximab vedotin or any component of ABVD",1
Phase ケ Study of S-1 Combined Cisplatin Hyperthermic Intraperitoneal Chemotherapy for Palliative Operation Gastric Cancer of Stage IV Limited Peritoneal Metastasis,[exclusion] known DPD deficiency,
"A Phase 3, Randomized, Double-Blind, Placebo Controlled Study of the Efficacy and Safety of Roxadustat for the Treatment of Anemia in Chronic Kidney Disease Patients Not on Dialysis",[exclusion] participant is positive for any of the following: Human Immunodeficiency Virus (HIV); hepatitis B surface antigen (HBsAg); or anti-hepatitis C virus antibody (anti-HCV Ab),1
"A Randomized Phase III Study Comparing Cyclophosphamide + Methotrexate + Fluorouracil vs. Goserelin + Tamoxifen in Premenopausal, Hormone Receptor-positive, Lymph Node-positive or -Negative Patients",[exclusion] lacking compliance or understanding of the disease,1
"A Phase I, Dose-Escalating, Safety Study of an Intravenously Administered Pegylated Liposomal Mitomycin-C Lipid-based Prodrug (PL-MLP, PROMITIL) in Cancer Patients With Solid Tumors.",[inclusion] estimated life expectancy of at least 3 months,1
Comparison of Insulin Degludec With Insulin Glargine U100 for Adults With Type 1 Diabetes Travelling Across Multiple Time Zones. A Pilot Study.,"[exclusion] any clinically significant disease or disorder, which in the investigator's opinion could interfere with the results of the trial",1
"A Phase 3, Multicenter, Randomized, Double-blind Study to Compare the Efficacy and Safety of Oral Azacitidine Plus Best Supportive Care Versus Placebo Plus Best Supportive Care in Subjects With Red Blood Cell Transfusion-dependent Anemia and Thrombocytopenia Due to IPSS Lower-risk Myelodysplastic Syndromes.","[exclusion] known Human Immunodeficiency Virus (HIV) or Hepatitis C (HCV) infection, or evidence of active Hepatitis B Virus (HBV) infection",1
Heart Outcomes Prevention Evaluation-3,[exclusion] chronic liver disease,1
"A Multicenter, Open Label, Escalating Dose Study to Assess the Tolerability and the Safety and to Explore the Efficacy and the Pharmacokinetics of ND0801 in Adult Patients With Attention Deficit/Hyperactivity Disorder (ADHD)",[exclusion] obsessive compulsive disorder,
"Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study of Ramucirumab and Best Supportive Care (BSC) Versus Placebo and BSC as Second-Line Treatment in Patients With Hepatocellular Carcinoma and Elevated Baseline Alpha-Fetoprotein (AFP) Following First-Line Therapy With Sorafenib","[exclusion] received radiation to any nonhepatic (for example, bone) site within 14 days prior to randomization",
"A Prospective, Randomized, Open, Multi-center Phase III Clinical Study Comparing Efficacy and Safety of Sequential T-FEC and TX-XEC as Post-operative Adjuvant Chemotherapy Options for the Treatment of Triple-negative Breast Cancer",[inclusion] postoperative recovery was good and an interval of at least one week since the surgery is necessary,
"A Phase 3 Open-Label, Multicenter, Randomized Study of ASP2215 Versus Salvage Chemotherapy in Patients With Relapsed or Refractory Acute Myeloid Leukemia (AML) With FLT3 Mutation","[exclusion] participant has active hepatitis B or C, or other active hepatic disorder",1
"Phase IIb Clinical Study of Recombinant Mycobacterium Tuberculosis Allergen ESAT6-CFP10 on Healthy People Aged 18-65,Adopting Randomized Blinded and Parallel Controlled Method",[exclusion] allergy to drugs 、alcohol 、 vaccine、drugs using in this experiment and allergic or scar constitution,1
Intrathecal Levobupivacaine Versus A Combination of Levobupivacaine and Dexamethasone in Parturients Receiving Combined Spinal Epidural for Vaginal Delivery Analgesia: A Comparative Study.,"[inclusion] ASA physical status I,II patients schedueled for normal vaginal deliveries",
"Cyclophosphamide Plus Transplantation of Partially HLA-mismatched (Haploidentical), CD8+ T Cell-depleted Peripheral Blood Cells for Patients With Myelodysplastic Syndrome, Acute Myeloid Leukemia, Lymphoma, or Myeloproliferative Disorders",[inclusion] bilirubin < 3.0 mg/dL,1
A Safety and Feasibility Study of Autologous Cord Blood (CB) and Human Placental Derived Stem Cells (HPDSC) in Neonates With Severe Hypoxic-Ischemic Encephalopathy (HIE),"[inclusion] plus Moderate to Severe Altered State of Consciousness, by one or more of the following: Hypotonia, or Abnormal reflexes, or Absent/weak suck",
Phase I/II Study of Weekly Abraxane and RAD001 in Women With Locally Advanced or Metastatic Breast Cancer. A Study of the Cancer Institute of New Jersey Oncology Group (CINJOG),[inclusion] no history of noncompliance to medical regimens,1
"The Efficacy and Safety of Adalimumab for Inflammatory Flare Prevention in Non-infectious Anterior Pediatric Uveitis With Peripheral Vascular Leakage Compared With Methotrexate, a RCT Study",[inclusion] retina peripheral vascular leakage demonstrated by UWFFA at the time of inclusion,
"A Randomized, Open Label, 2-treatment, Single Dose, Crossover, Bioequivalence Study of Ibuprofen 200 mg+Pseudoephedrine HCL 30 mg Tablets of Dr. Reddy's and Advil∝ Cold and Sinus Caplets of Wyeth Consumer Healthcare Under Fed Conditions.",[exclusion] female volunteers demonstrating a positive pregnancy screen or currently breast-feeding,1
Ivermectin Treatment Efficacy in Covid-19 High Risk Patients (I-TECH Study): A Multicenter Open-label Randomized Controlled Trial,[exclusion] other patients judged ineligible by the principal investigator or sub-investigator,1
"A Randomized, Controlled, Crossover Pilot Trial to Assess a Fully Automated, Dual-hormone (Insulin-and-pramlintide) Artificial Pancreas Without Carbohydrate Counting in Regulating Glucose Levels in Adults With Type 1 Diabetes",[exclusion] other serious medical illness likely to interfere with study participation or with the ability to complete the trial by the judgment of the investigator,1
